trigger  old  	  0.90 	  0.95  
40 	 40.00 	 68.28 	 72.85 
60 	 72.00 	 85.25 	 89.70 
80 	 95.00 	 109.27 	 115.21 
140 	 160.00 	 174.25 	 181.30 
200 	 226.00 	 241.80 	 251.27 
260 	 283.00 	 302.01 	 312.33 
320 	 344.00 	 366.35 	 377.83 
400 	 443.00 	 444.44 	 456.96 
450 	 577.00 	 502.73 	 518.70 
500 	 606.00 	 550.14 	 566.40 
